# rank	vertex	score
1	1973	0.000173372
2	1935	0.000152724
3	49559	0.000107215
4	254	9.24455e-05
5	48	8.7511e-05
6	242622	8.41929e-05
7	64577	7.87491e-05
8	25347	7.44129e-05
9	21932	7.01403e-05
10	49566	6.99029e-05
11	4468	6.96352e-05
12	37595	6.19953e-05
13	25064	6.11965e-05
14	20975	6.11288e-05
15	52058	5.88784e-05
16	59461	5.70054e-05
17	18661	5.67652e-05
18	20415	5.50953e-05
19	24085	5.4695e-05
20	33942	5.31553e-05
