# rank	vertex	score
1	115	0.000923743
2	2138	0.000921143
3	2560	0.000904021
4	3178	0.000898839
5	1950	0.000786894
6	1181	0.00076512
7	903	0.000724944
8	3180	0.000717958
9	3150	0.000712582
10	1611	0.000709199
11	556	0.000702035
12	16239	0.00068299
13	13083	0.000661207
14	3167	0.00062302
15	449	0.000620772
16	162	0.000609151
17	2487	0.00059859
18	5232	0.000595357
19	8055	0.000587083
20	8107	0.000582298
