# rank	vertex	score
1	7	0.0251512
2	5	0.025106
3	14	0.0250685
4	2	0.0249817
5	6	0.0249405
6	1	0.0249184
7	0	0.0248873
8	8	0.024636
9	3	0.0246223
10	12	0.0245836
11	15	0.0245518
12	4	0.0242786
13	11	0.0240926
14	10	0.0240918
15	13	0.0238501
16	9	0.0235442
17	16	0.00332149
18	17	0.00324632
19	26	0.00312325
20	18	0.00285713
